"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Arizona","2017","TOTREV","Elementary-secondary education school system total revenue","State and Local ","8601449"
"Annual Survey of School System Finance","Arizona","2018","TOTREV","Elementary-secondary education school system total revenue","State and Local ","8861562"
"Annual Survey of School System Finance","Arkansas","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","1432068"
"Annual Survey of School System Finance","Arkansas","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","1302837"
"Annual Survey of School System Finance","Arkansas","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","1508617"
"Annual Survey of School System Finance","Arkansas","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","1587246"
"Annual Survey of School System Finance","Arkansas","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","1709251"
"Annual Survey of School System Finance","Arkansas","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","1906674"
"Annual Survey of School System Finance","Arkansas","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2152220"
"Annual Survey of School System Finance","Arkansas","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","612420"
"Annual Survey of School System Finance","Arkansas","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","533975"
"Annual Survey of School System Finance","Arkansas","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","424314"
"Annual Survey of School System Finance","Arkansas","2015","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","511556"
"Annual Survey of School System Finance","Arkansas","2016","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","518181"
"Annual Survey of School System Finance","Arkansas","2017","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","519022"
"Annual Survey of School System Finance","Arkansas","2018","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","575721"
"Annual Survey of School System Finance","Arkansas","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","4509911"
"Annual Survey of School System Finance","Arkansas","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","4521591"
"Annual Survey of School System Finance","Arkansas","2014","CS","Elementary-secondary education school system total current expenditures","State and Local ","4645874"
"Annual Survey of School System Finance","Arkansas","2015","CS","Elementary-secondary education school system total current expenditures","State and Local ","4683434"
"Annual Survey of School System Finance","Arkansas","2016","CS","Elementary-secondary education school system total current expenditures","State and Local ","4750938"
"Annual Survey of School System Finance","Arkansas","2017","CS","Elementary-secondary education school system total current expenditures","State and Local ","4806717"
"Annual Survey of School System Finance","Arkansas","2018","CS","Elementary-secondary education school system total current expenditures","State and Local ","4899604"
"Annual Survey of School System Finance","Arkansas","2012","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","3605101"
"Annual Survey of School System Finance","Arkansas","2013","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","3664741"
"Annual Survey of School System Finance","Arkansas","2014","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","3945397"
"Annual Survey of School System Finance","Arkansas","2015","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4090937"
